,City Name,Country Code,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),UTC Datetime
332,Dingle,IE,52.14,-10.27,50.0,100,90,4.7,1606768403
333,Cremona,IT,45.23,9.93,44.01,80,8,2.24,1606768692
334,Butaritari,KI,3.07,172.79,82.74,77,45,18.05,1606768692
335,Zyryanka,RU,65.75,150.85,-15.74,85,0,7.74,1606768692
336,Saskylakh,RU,71.92,114.08,17.19,94,100,23.04,1606768692
337,Portobelo,PA,9.55,-79.65,84.0,99,100,9.89,1606768692
338,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,65,0,23.04,1606768692
339,Rengo,CL,-34.42,-70.87,87.8,25,20,7.83,1606768692
340,Bulaevo,KZ,54.91,70.44,-3.53,91,8,0.87,1606768692
341,Boa Vista,BR,2.82,-60.67,89.6,52,40,9.17,1606768463
342,Koslan,RU,63.46,48.9,27.86,96,100,12.24,1606768693
343,Chimbote,PE,-9.09,-78.58,69.15,75,98,9.42,1606768693
344,Ewa Beach,US,21.32,-158.01,80.6,57,20,3.36,1606768565
345,Kodiak,US,57.79,-152.41,35.6,96,90,32.21,1606768476
346,Punta Arenas,CL,-53.15,-70.92,55.4,50,75,49.44,1606768481
347,Avarua,CK,-21.21,-159.78,80.6,83,100,13.87,1606768693
348,Vicuna,CL,-30.03,-70.71,88.0,18,0,4.0,1606768693
349,Accra,GH,5.56,-0.2,82.4,83,40,9.17,1606768693
350,Tura,RU,64.28,100.25,-7.62,90,1,5.75,1606768693
351,Pedernales,EC,0.08,-80.05,76.84,76,44,9.37,1606768693
352,Cabedelo,BR,-6.98,-34.83,80.6,69,20,12.75,1606768694
353,Le Vauclin,MQ,14.55,-60.84,82.4,78,90,14.99,1606768694
354,Payakumbuh,ID,-0.22,100.63,67.77,86,92,3.33,1606768694
355,Ixtapa,MX,20.7,-105.2,82.4,65,5,6.93,1606768694
356,Rio Claro,TT,10.3,-61.18,87.8,62,40,11.41,1606768694
357,Beloha,MG,-25.17,45.05,70.95,93,79,3.42,1606768694
358,Verkhnevilyuysk,RU,63.45,120.32,-7.49,90,93,6.49,1606768694
359,Cherskiy,RU,68.75,161.3,-8.57,91,100,6.55,1606768694
360,Coihaique,CL,-45.58,-72.07,57.2,50,40,10.29,1606768694
